ID_CLIENTE	CLIENTE	MERCADO
722	PAPELERA,NOA	FD
723	PAPELERA,TUCUMAN	ID
724	PARQUE,BELGRANO,GNC	GNC
725	PERFILTRA,-,38103080	G
726	PETECH,-,5932	GNC
727	PETRACCHINI,-,16888	GNC
728	PETROGAS,-,74104000	GNC
729	PETROGAS,-,74104004	GNC
730	PETROGAS,-,19787	GNC
731	PETROLIDER,-,14677	GNC
732	PETROLIDER,-,26048	GNC
733	PETRONORTE,-,21756	GNC
734	PETROSAN,-,16504	GNC
735	PETROSUD,-,14104145	GNC
744	PRAXAIR	G
745	PROCESADORA,BORATOS	FD
746	PROD.,S.,RIO,DULCE	G
747	PRODUCCION,SA,GNC	GNC
748	PROSAL	FD
749	RAIMONDO,FRANCISCO	GNC
751	REGI,GRUPO	GNC
752	REYES,ALGEMIR,-,4287	GNC
753	REYES,ARGEMIRO-,9865	GNC
754	RGA,-,54554	GNC
755	RIAL,-,18489	GNC
756	RODISA,-,13105840	GNC
757	ROMANO,ROSA,-,9032	GNC
758	ROMANO,ROSA	GNC
759	ROMANO,ROSA-62581	GNC
761	ING.,LA,CORONA	FD
762	SAIFAN,HERRER,-,8510	GNC
763	SANTISTA,TEXTIL	FD
764	SANZ,HNOS,,13109006	GNC
765	TIBURCIO,SANZ9104305	GNC
591	CERAMICA,DEL,NORTE,1	FD
592	CERAMICA,MARCOS,PAZ	FD
594	CERAMICA,SANTIAGO	FD
595	CERAMICA,STANEFF	P
596	INDUST.,CERVECERA	G
597	SAN,MIGUEL,F	FD
598	CITROMAX	FD
599	CITRUSVIL,Planta,A	FD
600	CITRUSVIL,Planta,B	FD
601	COMB,ECOLOGICOS,GNC	GNC
603	ING.,SAN,JUAN	FD
604	COMPLEJO,DEL,PARQUE	GNC
605	AFAMIA,2-,52172	GNC
608	MINACLAR	G
609	COOP,TAB,-,54102135	SDB
610	COVEMAT,-,27329	GNC
611	COVEMAT,-,52457	GNC
613	COVEMAT,-,55456	GNC
614	GNC,TEXAS,-,57417	GNC
615	COVEMAT,-,9104310	GNC
616	CREDIPLATA,-,8086	GNC
617	CURTIEMBRE,ARLEI	G
618	ROBERTO,DAPELLO,GNC	GNC
619	ECOGAS,SRL-,13105935	GNC
620	ECO,GAS,-,65314	GNC
621	Eco,Metan	GNC
622	ECOGAS,SAN,PEDRO2077	GNC
623	ECOLOGICA,PLUS,GNC	GNC
624	EL,JAGUEL,-,27847	GNC
626	MINA,AGUILAR	FT
627	ESCARABAJO,-,52496	GNC
628	ESCONTRELA-,17109008	GNC
629	ESE,GAS,-,252	GNC
630	ESE,GAS,-,4875	GNC
631	ESSO,PETROLERA,57893	GNC
632	LA,MARIPOSA	G
633	GNC,SAN,MARTIN,62934	GNC
634	EL,CHANGO,-,34284	GNC
635	INDEPENDENCIA,,GNC	GNC
637	CENTENARIO-,14109022	GNC
638	GNC,EL,BAJO,-,62163	GNC
639	FIDEOS,RIVOLI	P
640	PERESSIN,-,59114005	GNC
642	FLORENCIA,GN74104002	GNC
643	FORTINO,FIORIO,52742	GNC
644	FRANCISCO,MENA,GNC	GNC
645	Francisco,Montiel	GNC
646	FRIGORIFICO,BERMEJO	G
647	FULL,SERVICE,-,66471	GNC
649	MONTE,LIB,-,37104006	GNC
650	GyS,GAS,-,54443	GNC
651	GALO,-,19013	GNC
653	GARAY,HNOS,-,24883	GNC
654	GARHER,-,51374	GNC
655	NORANDINO	FT
656	GEMINIS,-,24845	GNC
657	GNC,REVESA,-,29016	GNC
658	GEMINIS,-,74104003	GNC
659	GEOGAS,-,44638	GNC
660	GNC,SIGMA,-,59114007	GNC
661	GNC,ACONQUIJA-,52436	GNC
663	GNC,DEL,TAFI,-,51093	GNC
664	GNC,LA,TERMINAL17818	GNC
665	GNC,PLUS,-,56884	GNC
666	GNC,ROCAGAS-,52624	GNC
667	SION-18490	GNC
668	GNC,TERMAS,-,1001	GNC
669	GNC,TERMAS,-,610	GNC
670	GRUPO,FLORES14104155	GNC
671	GUILLERMINA,GNC53172	GNC
672	IMP,METALURGICA,NOA	G
673	TIMBO	FD
674	ING.,NU?ORCO	FD
675	ING.,SANTA,BARBARA	FD
676	ING.,LA,ESPERANZA	FD
582	Cavirama	GNC
583	CT,GUEMES	ID
585	CT,SARMIENTO	ID
587	CT,LA,BANDA	ID
588	CT,PALPALA	ID
544	ING.,FAMAILLA	FD
545	ING.,BELLA,VISTA	FD
546	ING.,SANTA,ROSA	FD
547	ABDALA,-14104150	GNC
548	ABDALA-,20381	GNC
549	ACEROS,ZAPLA	FD
550	AFAMIA,-,13105835	GNC
551	ALLIANCE,ONE,TOBACCO	FD
553	MIGUEL,ANGEL,ALVAREZ	GNC
554	ALVAREZ,MONICA	GNC
555	AMADO,MOHAMED-,28171	GNC
556	AMARU,-,25991	GNC
557	AMERIPLASTES	G
558	ANDINA,GNC-,59114008	GNC
559	ANSEL,-,1969	GNC
560	ANTONIO,FORTINO,GNC	GNC
561	ARCOR,MISKY	FD
562	ING.,LA,PROVIDENCIA	FD
564	ASPRON,-,26523	GNC
565	Astillero	GNC
566	ING.,MARAPA	ID
568	SUCESION,AVILA,GNC	GNC
569	AVILA,MARIO,GNC16957	GNC
570	BANDA,GAS,-,22930	GNC
571	ORCAR,BERNO,-,15727	GNC
572	BERRUEZO,-,13691	GNC
481	Gasmarket	FT
521	WEBSA	GNC
573	BLOKE,-,14104135	GNC
574	BORAX	FD
576	BRIQUETAS,CONIMEX	G
577	BUCCOLINI,-,74104001	GNC
578	CALSA	FD
579	CAMPO,ALEGRE10105811	GNC
580	CAR,GAS,-,62860	GNC
796	ACHERAL,-,60248	P
797	AGENOR,-,74103235	P
798	AGROIND,LA,SIERRA	P
799	P-SALT,-,19103673	P
800	Alpargatas	P
801	P-SALT,-,74085842	P
802	P-SSDJ,-,61115450	P
803	P-SALT,-,75113189	P
804	P-SSDJ,-,61115426	P
805	P-SSDJ,-,61115620	P
806	P-SSDJ,-,58117237	P
807	P-SSDJ,-,61115312	P
808	P-SSDJ,-,61115369	P
809	P-SSDJ,-,61115627	P
810	Baterplac	P
811	P-SSDJ,-,61115303	P
812	P-SSDJ,-,61115357	P
813	P-SSDJ,-,61115360	P
814	P-SSDJ,-,61115285	P
815	P-SALT,-,19103655	P
816	P-SALT,-,19103664	P
817	P-SALT,-,4618	P
818	P-SALT,-,19103657	P
819	P-SALT,-,7381	P
820	P-SSDJ,-,61115486	P
821	P-SSDJ,-,58117640	P
822	P-SSDJ,-,61117093	P
823	P-SSDJ,-,61115378	P
824	P-TUCU,-,13101440	P
825	P-SSDJ,-,58117201	P
826	P-SSDJ,-,61117138	P
827	P-SALT,-,17739	P
828	P-SALT,-,19112123	P
829	P-SALT,-,74104705	P
830	Quilmes,1-10970	P
831	Quilmes,2-11101520	P
832	P-SALT,-,19103538	P
833	P-SALT,-,19103528	P
834	P-SSDJ,-,58115534	P
835	P-SSDJ,-,58117159	P
836	MINERA,AGUILAR	P
838	P-SALT,-,19103689	P
839	P-TUCU,-,11101140	P
840	COMP,MONUM,GUEMES	P
841	Conagri	P
842	COTA	P
843	P-SALT,-,74103190	P
844	P-SSDJ,-,58102035	P
845	P-SSDJ,-,60102136	P
846	P-TUCU,-,4102150	P
847	COVEMAT,-,21929	P
848	P-SSDJ,-,58117397	P
850	P-TUCU,-,4102100	P
851	P-SSDJ,-,61117516	P
852	P-SSDJ,-,61115270	P
853	P-SSDJ,-,61115243	P
1184	MINETTI2	FD
1185	Alpargatas,2	P
854	P-SSDJ,-,61115252	P
855	P-SSDJ,-,61115257	P
856	DULCES,OTITO54102025	P
857	EDESA,-,23111535	P
858	P-SSDJ,-,61115195	P
859	P-SALT,-,7423	P
860	P-SSDJ,-,58117165	P
861	P-SSDJ,-,58117171	P
862	P-SALT,-,4622	P
863	P-SSDJ,-,59078124	P
864	EXINCOR,P-,55106025	P
865	P-SSDJ,-,61117057	P
866	Fernandez,Antonio	P
867	P-SALT,-,19103514	P
868	P-SSDJ,-,55115042	P
869	Ficoseco	P
870	P-SALT,-,33793	P
871	P-SALT,-,33795	P
872	P-SALT,-,33798	P
873	P-SALT,-,33800	P
875	P-SALT,-,24493	P
876	P-SALT,-,89112105	P
877	P-SALT,-,19103506	P
879	P-SDES,-,17104800	P
880	P-SALT,-,19103534	P
881	P-SSDJ,-,61115537	P
883	P-TUCU,-,13100580	P
884	P-SALT,-,71113000	P
885	P-SALT,-,7562	P
886	P-SALT,-,70113001	P
887	P-SALT,-,90111090	P
888	P-TUCU,-,13105806	P
889	ING.,LA,FLORIDA	P
890	P-SSDJ,-,58115525	P
891	P-SSDJ,-,61115459	P
894	P-SALT,-,7434	P
895	P-SALT,-,90111051	P
896	P-SDES,-,17104440	P
897	P-SALT,-,7610	P
898	P-SALT,-,7645	P
899	P-SSDJ,-,61115480	P
900	P-SSDJ,-,61115153	P
901	P-SSDJ,-,61115171	P
902	P-SSDJ,-,61115621	P
903	P-SALT,-,90111174	P
904	P-SALT,-,7518	P
905	P-SALT,-,19103654	P
906	P-SALT,-,75113174	P
907	P-SSDJ,-,55115102	P
908	P-SSDJ,-,61115624	P
909	P-SSDJ,-,55117699	P
910	P-SALT,-,90111225	P
911	P-SSDJ,-,55117681	P
912	P-SALT,-,7495	P
913	P-SALT,-,19111020	P
914	P-TUCU,-,13105825	P
915	P-SALT,-,74103118	P
916	P-SSDJ,-,55117696	P
917	P-SALT,-,75113195	P
920	Perez,Kralik	P
921	PLANTA,GUEMES	P
922	Portal,Juan,Carlos	P
923	P-SALT,-,90111078	P
924	REFINOR,URUNDEL	P
925	REFINOR,LAVALLEN	P
926	P-SALT,-,4634	P
928	P-SALT,-,90111138	P
930	P-SALT,-,234	P
931	P-SALT,-,74103100	P
932	P-SSDJ,-,61115246	P
933	P-SSDJ,-,61115250	P
934	P-SDES,-,1748	P
935	P-SALT,-,75113183	P
936	P-SALT,-,7385	P
937	P-SSDJ,-,61117030	P
938	P-SALT,-,19112015	P
939	SULFHAAR,-,55102045	P
942	P-SALT,-,4632	P
943	P-SALT,-,90111046	P
944	P-SALT,-,90111066	P
945	P-SALT,-,71113229	P
946	VERCELLINO-19111003	P
947	P-SALT,-,19112027	P
948	P-SALT,-,90111170	P
951	Berno,Oscar	GNC
952	Blasco,Carolina	GNC
953	Sanpetrol,SRL	GNC
955	SAN,MIGUEL	P
956	GAR,S.A.,71610	GNC
961	ING.,CRUZ,ALTA,(BAL)	FD
962	BLOTTING	G
969	HEMSY,RICARDO,74545	GNC
970	GALVAN,REY,-,10700	GNC
988	ACTION,VIS,-,40935	GNC
1115	ESTISOL	P
990	BELGRANO,S.A.	GNC
991	Est.,de,Serv.,Sagita	GNC
1003	Nutremas	P
1001	Fruticola,Zenta	P
1002	Oro,Blanco	P
1018	OPESA,-,78447	GNC
720	OPESA,-,13109010	GNC
625	ELECTR,EL,CARMEN	P
636	GNC,CEAR,-,14104156	GNC
652	GAR,S.A.,5987	GNC
1024	GEMINIS,GAS,-,6775	GNC
1026	P-SALT,-,39245	P
1035	SION-6832	GNC
1028	CERAMICA,ALBERDI	FD
1034	ULTRAGAS,-,29426	GNC
1037	FEGRA	GNC
1085	COOP,SAL-49440	G
1126	ING.,SANTA,ROSA,2	FD
1042	PETROL,JUJUY,-,25365	GNC
1043	SERVISUR,2	GNC
1044	K,&,M,S.A.	GNC
1046	CERAMICA,DEL,NORTE,2	FD
1049	ULTRAGAS,-,83836	GNC
1056	GARECA,-,25716	G
1061	ING.,AGUILARES,3	FD
1060	COMERCIAL,DE,PET	GNC
1065	LAS,CENTENARIAS,	GNC
1067	M.,LOGISTICA-48077	GNC
1073	Gasmarket,-,47499	FT
1075	EJSEDSA,-,26214	P
1076	PERFILTRA,-,40584	P
1077	EUROBOR,-,44413	P
1078	LAS,LOMAS-26430	GNC
1080	VILUCO,FRIAS,-,2580	FD
1081	COMB.,DEL,SUR	GNC
1082	GNC,RANCHILLOS	GNC
1092	TASCO,-,9746	GNC
1093	PETROLIDER,-,30742	GNC
1094	Gas,Meridional,-7383	IT
1097	ING.,LEALES,2	FD
1098	FRIGORIFICO,FORRES	P
1100	GNC,LA,24	GNC
1101	ROMANO,ROSA,-,54556	GNC
1104	CT,INDEPENDENCIA,2	ID
1105	DANOVIS-54646	GNC
1108	CASAL	GNC
1107	FRIGORIFICO,FIDENSA	P
1109	TENSOLITE,S.A.	G
1127	MARIA,JESUS,S.R.L.	GNC
1130	SANTISTA,TEXTIL,2	FD
1152	AUTOMOVIL,CLUB,ARGEN	GNC
1153	LATIN,LEMON	P
1114	RUTA,OIL,S.R.L.,3387	GNC
1154	GEOGAS-101459	GNC
1155	BERNO,OSCAR-29590	GNC
1157	EMILIO,LUQUE,2	P
1162	GIOPETROL,S.A.	GNC
1195	COTEMINAS	FD
1200	LOS,TRONCOS-6430	P
1203	CASVIL,GNC	GNC
1208	VALKIRIAS,GNC	GNC
1211	ITARES,GNC	GNC
1215	SONKOY,GNC	GNC
1221	GNC,DEL,LIBERTADOR	GNC
1227	GNC,SAMI	GNC
1229	ANVA,II,GNC	GNC
1274	ESTUFADO-87384	P
1237	GNC,LA,COLON	GNC
1239	GNC,LA,ESTACION	GNC
1241	GNC,LLORENS,DIP	GNC
1242	REFINERIA,DEL,CENTRO	P
1246	ING.,CONCEPCION,2	FD
1263	GNC,PIAVE,PALPALA	GNC
1267	GNC,CARRIZO	GNC
1268	GNC,SILOE	GNC
1269	GNC,SAIFAN,II	GNC
1283	CERAMICA,DEL,NORTE,4	FD
1284	ESTUFADO-90123	P
1299	GNC,LA,COLORADA	GNC
1308	GNC,BERNO,38046	GNC
1318	GNC,VIRGEN,MONTA?A	GNC
ID_CLIENTE	CLIENTE	MERCADO
1198	COMBUSTIBLES,TAFI	GNC
1285	FGF,TRAPANI	P
1112	EJESA	P
1131	ING.,LA,ESPERANZA,3	FD
1150	NORPLOM,-,55102085,2	P
1141	EMILIO,LUQUE	P
1151	P-TUCU,-,11101140,,2	P
1235	GNC,BERNO,IV	GNC
1238	GNC,BABNIK	GNC
1273	TRIGOTUC	P
1156	FIDEICOM,LAS,TALITAS	P
1159	ESTACION,EL,BOSQUE,S	GNC
1179	SERVISUR,-,64576	GNC
1193	EST.,INTEG.,DE,SERV	GNC
1202	ING.,LA,CORONA,2	FD
1204	CT,LA,BANDA,2	ID
1226	CERAMICA,DEL,NORTE,3	FD
1233	GNC,NIKON,II,	GNC
1258	GNC,VILLAGRA-TAFI	GNC
1140	EL,PIAVE,S.A	GNC
1163	ALVAREZ,GNC,2,-54713	GNC
1224	GNC,YALA	GNC
1236	GNC,LAVALLE	GNC
1251	CERAMICA,SALTE?A	P
1261	GNC,LOS,NIETOS,II	GNC
1279	CT,FRIAS,2	ID
1286	ARGENTILEMON	P
1316	GNC,PETRODAV	GNC
1124	SION-57823	GNC
1125	LA,CALDERA-58510	GNC
1175	EJESA,2,(Pied,Negra)	FD
1176	IMET,S.R.L.	P
1186	REFINOR,RIO,PIEDRA	P
1210	BUTANO,GNC	GNC
1219	GNC,RL,VILLA,FIAD	GNC
1228	ECOMOVIL,GNC	GNC
1252	SION-82013	GNC
1256	Cavirama,2	GNC
1265	CAMMESA,CT,SAN,MIG	IT
1282	GNC,GAS,ONE	GNC
1288	GNC,LLORENS,DIP,2	GNC
1291	GALVANIZADOS,P	P
1165	CERAMICA,ANDINA,2	FD
1166	PETRONORTE,-,68398	GNC
1192	PLAZOLETA,GNC	GNC
1220	GNC,AVILA,II	GNC
1234	SHERATON,HOTEL,TUC	P
1266	CAMMESA,CT,TUC	IT
1270	GNC,MARCELO,MEDRANO	GNC
1272	SION-36548	GNC
1302	SALTA,PETROL,P	P
1303	NEBAR,CONST,P	P
766	SCANIA	G
767	Senda,Verde	GNC
768	SOLO,GAS,-,17549	GNC
769	SERVIGAS,-,27359	GNC
770	SERVI,2000,GNC	GNC
771	LOS,NIETOS,-,30796	GNC
772	SERVISUR,-,13654	GNC
773	GNC,PETRO,GUEMES	GNC
775	ROBERTO,SAMAN-,21757	GNC
776	TECOTEX	G
778	TIBURCIO,SANZ-,49753	GNC
779	TIBURCIO,SANZ-,56040	GNC
781	TRAPANI	G
677	ING.,RIO,GRANDE	FD
678	ING.,TABACAL	FD
679	INVER,STRONG-,42542	GNC
680	JACARANDA,-,8735	GNC
681	JOSE,SHAMUN,-,1853	GNC
682	JOSE,MONTERO74104005	GNC
683	MINETTI	FD
684	JUSTIN,SANCHEZ,GNC	GNC
686	LA,CASCADA,-,24196	GNC
687	LA,CONSTRUCTORA33813	GNC
688	LA,PARADA,-,53082	GNC
689	LA,PICHONA	GNC
690	La,Red	GNC
691	ROTONDA,LIMAC,-,2145	GNC
692	LADRICER	G
693	LATSER,-,58114006	GNC
695	LITORAL,CITRUS	FD
696	LLORVANDI,-,15105930	GNC
697	ROMANO,LOBO,-,4166	GNC
699	MAGNETO,-,19246	GNC
700	MANANTIALES,-,30233	GNC
701	MANZUR,GNC,-,17478	GNC
702	MASSALIN	FD
703	MATI,SA,-,22920	GNC
704	MB,ENERGY-,22050	GNC
705	MB,ENERGY,-,32896	GNC
706	MECATECNICA,-,17854	GNC
707	MERPE,-,20313	GNC
709	MUKDISE,-,991	GNC
710	MILENIUM,-,19923	GNC
711	MINERA,SANTA,RITA	FD
712	MULTIGAS,-,58162	GNC
713	MULTILUB,-,27896	GNC
714	NANTUCKET,-,20853	GNC
715	NANTUCKET,-,55961	GNC
716	NATUER,GNC-,13007777	GNC
717	NORGAS,-,5399	GNC
719	OCTANO,-,28453	GNC
721	OPESA,-,62165	GNC
722	PAPELERA,NOA	FD
723	PAPELERA,TUCUMAN	ID
724	PARQUE,BELGRANO,GNC	GNC
725	PERFILTRA,-,38103080	G
726	PETECH,-,5932	GNC
727	PETRACCHINI,-,16888	GNC
728	PETROGAS,-,74104000	GNC
729	PETROGAS,-,74104004	GNC
730	PETROGAS,-,19787	GNC
731	PETROLIDER,-,14677	GNC
732	PETROLIDER,-,26048	GNC
733	PETRONORTE,-,21756	GNC
734	PETROSAN,-,16504	GNC
735	PETROSUD,-,14104145	GNC
744	PRAXAIR	G
745	PROCESADORA,BORATOS	FD
746	PROD.,S.,RIO,DULCE	G
747	PRODUCCION,SA,GNC	GNC
748	PROSAL	FD
749	RAIMONDO,FRANCISCO	GNC
751	REGI,GRUPO	GNC
752	REYES,ALGEMIR,-,4287	GNC
753	REYES,ARGEMIRO-,9865	GNC
754	RGA,-,54554	GNC
755	RIAL,-,18489	GNC
756	RODISA,-,13105840	GNC
757	ROMANO,ROSA,-,9032	GNC
758	ROMANO,ROSA	GNC
759	ROMANO,ROSA-62581	GNC
761	ING.,LA,CORONA	FD
762	SAIFAN,HERRER,-,8510	GNC
763	SANTISTA,TEXTIL	FD
764	SANZ,HNOS,,13109006	GNC
765	TIBURCIO,SANZ9104305	GNC
591	CERAMICA,DEL,NORTE,1	FD
592	CERAMICA,MARCOS,PAZ	FD
594	CERAMICA,SANTIAGO	FD
595	CERAMICA,STANEFF	P
596	INDUST.,CERVECERA	G
597	SAN,MIGUEL,F	FD
598	CITROMAX	FD
599	CITRUSVIL,Planta,A	FD
600	CITRUSVIL,Planta,B	FD
601	COMB,ECOLOGICOS,GNC	GNC
603	ING.,SAN,JUAN	FD
604	COMPLEJO,DEL,PARQUE	GNC
605	AFAMIA,2-,52172	GNC
608	MINACLAR	G
609	COOP,TAB,-,54102135	SDB
610	COVEMAT,-,27329	GNC
611	COVEMAT,-,52457	GNC
613	COVEMAT,-,55456	GNC
614	GNC,TEXAS,-,57417	GNC
615	COVEMAT,-,9104310	GNC
616	CREDIPLATA,-,8086	GNC
617	CURTIEMBRE,ARLEI	G
618	ROBERTO,DAPELLO,GNC	GNC
619	ECOGAS,SRL-,13105935	GNC
620	ECO,GAS,-,65314	GNC
621	Eco,Metan	GNC
622	ECOGAS,SAN,PEDRO2077	GNC
623	ECOLOGICA,PLUS,GNC	GNC
624	EL,JAGUEL,-,27847	GNC
626	MINA,AGUILAR	FT
627	ESCARABAJO,-,52496	GNC
628	ESCONTRELA-,17109008	GNC
629	ESE,GAS,-,252	GNC
630	ESE,GAS,-,4875	GNC
631	ESSO,PETROLERA,57893	GNC
632	LA,MARIPOSA	G
633	GNC,SAN,MARTIN,62934	GNC
634	EL,CHANGO,-,34284	GNC
635	INDEPENDENCIA,,GNC	GNC
637	CENTENARIO-,14109022	GNC
638	GNC,EL,BAJO,-,62163	GNC
639	FIDEOS,RIVOLI	P
640	PERESSIN,-,59114005	GNC
642	FLORENCIA,GN74104002	GNC
643	FORTINO,FIORIO,52742	GNC
644	FRANCISCO,MENA,GNC	GNC
645	Francisco,Montiel	GNC
646	FRIGORIFICO,BERMEJO	G
647	FULL,SERVICE,-,66471	GNC
649	MONTE,LIB,-,37104006	GNC
650	GyS,GAS,-,54443	GNC
651	GALO,-,19013	GNC
653	GARAY,HNOS,-,24883	GNC
654	GARHER,-,51374	GNC
655	NORANDINO	FT
656	GEMINIS,-,24845	GNC
657	GNC,REVESA,-,29016	GNC
658	GEMINIS,-,74104003	GNC
659	GEOGAS,-,44638	GNC
660	GNC,SIGMA,-,59114007	GNC
661	GNC,ACONQUIJA-,52436	GNC
663	GNC,DEL,TAFI,-,51093	GNC
664	GNC,LA,TERMINAL17818	GNC
665	GNC,PLUS,-,56884	GNC
666	GNC,ROCAGAS-,52624	GNC
667	SION-18490	GNC
668	GNC,TERMAS,-,1001	GNC
669	GNC,TERMAS,-,610	GNC
670	GRUPO,FLORES14104155	GNC
671	GUILLERMINA,GNC53172	GNC
672	IMP,METALURGICA,NOA	G
673	TIMBO	FD
674	ING.,NU?ORCO	FD
675	ING.,SANTA,BARBARA	FD
676	ING.,LA,ESPERANZA	FD
582	Cavirama	GNC
583	CT,GUEMES	ID
585	CT,SARMIENTO	ID
587	CT,LA,BANDA	ID
588	CT,PALPALA	ID
544	ING.,FAMAILLA	FD
545	ING.,BELLA,VISTA	FD
546	ING.,SANTA,ROSA	FD
547	ABDALA,-14104150	GNC
548	ABDALA-,20381	GNC
549	ACEROS,ZAPLA	FD
550	AFAMIA,-,13105835	GNC
551	ALLIANCE,ONE,TOBACCO	FD
553	MIGUEL,ANGEL,ALVAREZ	GNC
554	ALVAREZ,MONICA	GNC
555	AMADO,MOHAMED-,28171	GNC
556	AMARU,-,25991	GNC
557	AMERIPLASTES	G
558	ANDINA,GNC-,59114008	GNC
559	ANSEL,-,1969	GNC
560	ANTONIO,FORTINO,GNC	GNC
561	ARCOR,MISKY	FD
562	ING.,LA,PROVIDENCIA	FD
564	ASPRON,-,26523	GNC
565	Astillero	GNC
566	ING.,MARAPA	ID
568	SUCESION,AVILA,GNC	GNC
569	AVILA,MARIO,GNC16957	GNC
570	BANDA,GAS,-,22930	GNC
571	ORCAR,BERNO,-,15727	GNC
572	BERRUEZO,-,13691	GNC
481	Gasmarket	FT
521	WEBSA	GNC
573	BLOKE,-,14104135	GNC
574	BORAX	FD
576	BRIQUETAS,CONIMEX	G
577	BUCCOLINI,-,74104001	GNC
578	CALSA	FD
579	CAMPO,ALEGRE10105811	GNC
580	CAR,GAS,-,62860	GNC
796	ACHERAL,-,60248	P
797	AGENOR,-,74103235	P
798	AGROIND,LA,SIERRA	P
799	P-SALT,-,19103673	P
800	Alpargatas	P
801	P-SALT,-,74085842	P
802	P-SSDJ,-,61115450	P
803	P-SALT,-,75113189	P
804	P-SSDJ,-,61115426	P
805	P-SSDJ,-,61115620	P
806	P-SSDJ,-,58117237	P
807	P-SSDJ,-,61115312	P
808	P-SSDJ,-,61115369	P
809	P-SSDJ,-,61115627	P
810	Baterplac	P
811	P-SSDJ,-,61115303	P
812	P-SSDJ,-,61115357	P
813	P-SSDJ,-,61115360	P
814	P-SSDJ,-,61115285	P
815	P-SALT,-,19103655	P
816	P-SALT,-,19103664	P
817	P-SALT,-,4618	P
